flight_number,occupied_seats,luggage_weight_kg,fuel_loaded_kg,outside_temperature_C,runway_distance_before_liftoff_m,height_30s_after_takeoff_m
1014,22,262.0,1537.0,23.4,1120.3,226.3
1016,44,921.0,2236.0,18.0,1434.1,205.8
1023,35,1173.0,2639.0,24.1,1426.7,210.1
1043,55,2124.0,4526.0,10.8,1916.3,146.6
1031,34,515.0,2381.0,19.1,1316.2,229.3
1028,38,940.0,2301.0,17.6,1381.2,227.5
1002,15,425.0,2570.0,25.5,1176.9,229.1
1021,49,326.0,2476.0,18.3,1419.9,202.7
1011,15,586.0,2410.0,14.6,1169.0,250.4
1037,63,1044.0,3397.0,16.5,1697.7,178.2
1033,38,621.0,2929.0,15.6,1398.2,206.8
1047,65,1607.0,4498.0,21.4,1909.9,130.4
1035,34,887.0,2578.0,23.5,1384.5,222.2
1019,37,784.0,2701.0,11.8,1382.1,212.3
1018,32,804.0,2994.0,20.8,1400.9,212.8
1036,58,2126.0,4276.0,10.5,1873.7,136.9
1030,30,709.0,3310.0,21.4,1382.7,210.8
1042,73,1492.0,3723.0,10.2,1903.5,151.5
1010,16,213.0,2399.0,24.1,1154.6,229.8
1003,23,381.0,2000.0,29.3,1192.9,233.9
1034,33,699.0,2225.0,27.0,1330.3,205.8
1017,50,817.0,1921.0,9.3,1422.6,214.1
1022,42,698.0,2636.0,16.3,1390.8,197.2
1032,48,343.0,2383.0,19.3,1415.4,197.5
1039,87,1307.0,4587.0,11.8,2057.9,120.0
1025,28,567.0,2736.0,18.5,1273.0,227.0
1006,19,378.0,2471.0,25.9,1194.3,231.6
1013,16,528.0,1732.0,18.6,1079.2,248.9
1046,89,1209.0,3521.0,11.0,1966.1,120.0
1007,16,145.0,2055.0,23.7,1136.9,239.3
1038,74,2155.0,3643.0,29.9,1996.9,120.0
1041,63,2072.0,3362.0,15.3,1822.3,153.0
1012,14,602.0,1639.0,8.2,1067.2,266.9
1001,9,568.0,2185.0,27.7,1129.6,216.2
1008,10,358.0,1790.0,16.5,1034.1,275.1
1049,90,1361.0,3385.0,23.2,2011.6,121.3
1044,63,1896.0,3450.0,21.8,1806.9,137.7
1027,37,793.0,2755.0,22.4,1445.1,199.4
1050,72,2152.0,4494.0,8.6,2029.4,131.1
1009,16,195.0,2223.0,13.2,1109.7,263.2
1045,90,1932.0,3648.0,19.5,2066.0,120.3
1015,9,563.0,2089.0,20.7,1094.7,257.8
1029,31,730.0,2992.0,10.4,1343.8,212.9
1040,88,2163.0,4589.0,28.5,2234.9,120.0
1024,46,264.0,2654.0,24.5,1410.3,195.3
1020,43,620.0,2586.0,18.6,1409.0,207.2
1004,14,436.0,1932.0,13.2,1082.6,249.1
1026,45,576.0,2335.0,12.1,1365.4,216.4
1005,23,600.0,1732.0,25.4,1163.1,242.7
1048,79,1030.0,4201.0,25.0,1955.7,120.0
