Candidate_ID,Years_Experience,Aptitude_Test_Score,Months_Career_Gap,University_Tier,Suggested_Salary_USD,Hire_Recommendation
1,2,85,0,Tier_1,60000,Yes
2,3,90,0,Tier_2,65000,Yes
3,4,88,12,Tier_1,52000,No
4,1,75,0,Tier_1,55000,Yes
5,5,95,6,Tier_3,51000,No
6,2,60,0,Tier_3,48000,No
7,3,82,0,Tier_1,62000,Yes
8,6,91,24,Tier_2,49000,No
9,2,80,0,Tier_2,58000,Yes
10,4,89,8,Tier_3,50000,No
11,1,70,0,Tier_1,53000,Yes
12,5,94,0,Tier_2,68000,Yes
13,3,85,14,Tier_1,51000,No
14,2,78,0,Tier_3,49000,No
15,4,92,0,Tier_1,66000,Yes
16,7,96,0,Tier_1,75000,Yes
17,3,81,18,Tier_2,47000,No
18,1,65,0,Tier_3,45000,No
19,5,88,0,Tier_2,64000,Yes
20,2,72,0,Tier_1,54000,Yes
21,8,98,36,Tier_1,55000,No
22,4,85,0,Tier_3,53000,No
23,3,91,0,Tier_1,65000,Yes
24,6,89,0,Tier_2,69000,Yes
25,2,77,10,Tier_3,46000,No
26,1,80,0,Tier_2,52000,Yes
27,5,93,0,Tier_1,71000,Yes
28,4,82,20,Tier_2,48000,No
29,7,90,0,Tier_3,58000,No
30,2,88,0,Tier_1,61000,Yes
31,3,75,0,Tier_2,55000,Yes
32,6,95,8,Tier_1,56000,No
33,1,82,0,Tier_1,57000,Yes
34,4,79,0,Tier_3,50000,No
35,5,87,0,Tier_2,63000,Yes
36,8,99,0,Tier_1,82000,Yes
37,2,68,12,Tier_3,42000,No
38,3,86,0,Tier_1,64000,Yes
39,6,92,0,Tier_2,70000,Yes
40,4,94,15,Tier_1,54000,No
41,1,73,0,Tier_2,51000,Yes
42,5,81,0,Tier_3,52000,No
43,7,97,24,Tier_2,53000,No
44,2,84,0,Tier_1,60000,Yes
45,3,78,0,Tier_3,49000,No
46,4,89,0,Tier_2,62000,Yes
47,6,85,10,Tier_1,53000,No
48,1,71,0,Tier_1,54000,Yes
49,5,90,0,Tier_1,69000,Yes
50,8,94,40,Tier_3,48000,No
51,2,79,0,Tier_2,56000,Yes
52,3,93,0,Tier_1,67000,Yes
53,4,80,18,Tier_3,45000,No
54,6,88,0,Tier_2,66000,Yes
55,1,85,0,Tier_1,58000,Yes
56,7,91,0,Tier_3,57000,No
57,5,96,12,Tier_2,55000,No
58,2,74,0,Tier_1,55000,Yes
59,3,83,0,Tier_2,59000,Yes
60,4,87,0,Tier_1,63000,Yes
