ID,Age,Tenure (Months),Monthly Spend (QAR),Total Spend (12months),Visits (30 days),Days Since Last Purchase,Support Tickets (12 months),Region,Plan Type,AutoPay,Churn
C001,24,2,45,90,18,4,0,North,Basic,No,1
C002,35,14,120,1680,22,9,8,West,Plus,Yes,0
C003,41,36,95,3420,3,60,0,East,Plus,Yes,0
C004,-3,6,70,420,5,30,2,South,Basic,No,1
C005,29,1,10,10,1,2,1,North,Basic,No,1
C006,52,48,180,8640,14,5,0,West,Pro,Yes,0
C007,38,10,75,750,6,18,4,East,Plus,No,0
C008,27,8,60,480,12,7,6,South,Basic,No,1
C008,27,8,60,480,12,7,6,South,Basic,No,1
C009,46,20,110,2200,2,90,0,West,Pro,Yes,0
C010,33,3,,165,4,25,3,North,Basic,No,1
C011,62,60,140,8400,10,12,1,East,Pro,Yes,0
C012,19,4,35,140,20,1,5,South,Basic,,1
C013,44,24,105,2520,7,15,0,West,Plus,Yes,0
C014,31,12,85,1020,8,14,2,East,Plus,No,0
C015,28,9,65,585,5,40,2,North,Basic,No,1
C016,39,18,98,1764,6,10,1,South,Plus,Yes,0
C017,57,30,160,4800,3,4,0,West,Pro,Yes,0
C018,26,5,50,250,9,22,4,East,Basic,No,1
C019,34,7,72,504,11,16,2,South,Basic,No,1
C020,45,15,900,13500,2,3,1,West,Pro,Yes,0
