"AutoPay";"Monthly Spend";"Customer_ID";"Age";"Tenure (Months)";"Total_Spend_12m";"Visits_30d";"Days_Since_Purchase";"Support_Tickets_12m";"Region";"Plan_Type";"Churn"
"No";45;"C001";24;2;90;18;4;0;"North";"Basic";1
"Yes";120;"C002";35;14;1680;22;9;8;"West";"Plus";0
"Yes";95;"C003";41;36;3420;3;60;0;"East";"Plus";0
"No";10;"C005";29;1;10;1;2;1;"North";"Basic";1
"Yes";180;"C006";52;48;8640;14;5;0;"West";"Pro";0
"No";75;"C007";38;10;750;6;18;4;"East";"Plus";0
"No";60;"C008";27;8;480;12;7;6;"South";"Basic";1
"Yes";110;"C009";46;20;2200;2;90;0;"West";"Pro";0
"No";134;"C010";33;3;165;4;25;3;"North";"Basic";1
"Yes";140;"C011";62;60;8400;10;12;1;"East";"Pro";0
"No";35;"C012";19;4;140;20;1;5;"South";"Basic";1
"Yes";105;"C013";44;24;2520;7;15;0;"West";"Plus";0
"No";85;"C014";31;12;1020;8;14;2;"East";"Plus";0
"No";65;"C015";28;9;585;5;40;2;"North";"Basic";1
"Yes";98;"C016";39;18;1764;6;10;1;"South";"Plus";0
"Yes";160;"C017";57;30;4800;3;4;0;"West";"Pro";0
"No";50;"C018";26;5;250;9;22;4;"East";"Basic";1
"No";72;"C019";34;7;504;11;16;2;"South";"Basic";1
"Yes";900;"C020";45;15;13500;2;3;1;"West";"Pro";0
"AutoPay","Monthly Spend","Customer_ID","Age","Tenure (Months)","Total_Spend_12m","Visits_30d","Days_Since_Purchase","Support_Tickets_12m","Region","Plan_Type","Churn"
"No",45,"C001",24,2,90,18,4,0,"North","Basic",1
"Yes",120,"C002",35,14,1680,22,9,8,"West","Plus",0
"Yes",95,"C003",41,36,3420,3,60,0,"East","Plus",0
"No",10,"C005",29,1,10,1,2,1,"North","Basic",1
"Yes",180,"C006",52,48,8640,14,5,0,"West","Pro",0
"No",75,"C007",38,10,750,6,18,4,"East","Plus",0
"No",60,"C008",27,8,480,12,7,6,"South","Basic",1
"Yes",110,"C009",46,20,2200,2,90,0,"West","Pro",0
"No",134,"C010",33,3,165,4,25,3,"North","Basic",1
"Yes",140,"C011",62,60,8400,10,12,1,"East","Pro",0
"No",35,"C012",19,4,140,20,1,5,"South","Basic",1
"Yes",105,"C013",44,24,2520,7,15,0,"West","Plus",0
"No",85,"C014",31,12,1020,8,14,2,"East","Plus",0
"No",65,"C015",28,9,585,5,40,2,"North","Basic",1
"Yes",98,"C016",39,18,1764,6,10,1,"South","Plus",0
"Yes",160,"C017",57,30,4800,3,4,0,"West","Pro",0
"No",50,"C018",26,5,250,9,22,4,"East","Basic",1
"No",72,"C019",34,7,504,11,16,2,"South","Basic",1
"Yes",900,"C020",45,15,13500,2,3,1,"West","Pro",0
