Hours Studied,Previous Scores,Extracurricular Activities,Sleep Hours,Sample Question Papers Practiced,Performance Index,Place of study
7,99,Yes,9,1,91,Library
4,82,No,4,2,65,Library
8,51,Yes,7,2,45,Library
5,52,Yes,5,2,36,Library
7,75,No,8,5,66,Home
3,78,No,9,6,61,Home
7,73,Yes,5,6,63,Home
8,45,Yes,4,6,42,Home
5,77,No,8,2,61,Home
4,89,No,4,0,69,Home
8,91,No,4,5,84,Home
8,79,No,6,2,73,Home
3,47,No,9,2,27,Home
6,47,No,4,2,33,Café
5,79,No,7,8,68,Café
2,72,No,4,3,43,Café
8,73,Yes,8,4,67,Library
6,83,Yes,7,2,70,Library
2,54,Yes,4,9,30,Library
5,75,No,7,0,63,Library
1,99,Yes,4,3,71,Library
6,96,No,9,0,85,Library
9,74,Yes,7,6,73,Library
1,85,No,5,6,57,Library
3,61,No,6,3,35,Library
7,62,Yes,7,4,49,Library
4,79,No,8,9,66,Library
9,84,Yes,6,6,83,Library
3,94,Yes,6,5,74,Library
5,90,Yes,4,3,74,Library
3,61,Yes,7,3,39,Library
7,44,Yes,9,1,36,Library
5,70,Yes,6,9,58,Library
9,52,Yes,8,1,47,Library
7,67,Yes,9,3,60,Library
2,97,Yes,9,4,74,Library
4,59,No,8,3,42,Library
9,72,No,8,2,68,Library
2,55,Yes,4,1,32,Café
9,68,No,5,3,64,Café
5,62,No,7,4,45,Café
2,63,Yes,6,0,39,Café
4,73,Yes,7,0,58,Café
7,46,No,9,5,36,Café
8,77,Yes,6,4,71,Café
3,76,Yes,4,3,54,Café
1,43,Yes,7,0,17,Café
4,73,No,4,6,54,Café
2,81,Yes,4,3,58,Café
8,61,No,7,2,53,Café
4,44,Yes,7,6,27,Café
2,89,Yes,6,1,65,Library
6,81,No,9,9,75,Library
6,62,Yes,9,0,52,Library
4,93,No,8,3,78,Library
6,99,No,4,7,91,Library
2,54,Yes,9,5,33,Library
2,70,Yes,5,8,47,Library
4,98,No,6,0,78,Library
8,48,No,6,0,38,Library
7,82,Yes,8,4,70,Library
9,97,Yes,8,5,98,Library
8,92,Yes,4,7,87,Library
5,64,Yes,6,2,49,Library
2,64,Yes,6,5,41,Library
5,88,No,5,2,71,Library
8,60,No,4,7,54,Library
9,48,No,4,3,42,Library
9,94,No,9,1,91,Library
1,87,Yes,8,8,61,Library
9,77,No,9,9,74,Library
7,61,Yes,4,7,54,Library
9,82,Yes,5,5,81,Library
8,62,Yes,4,2,52,Library
1,88,Yes,9,1,65,Library
8,43,Yes,7,3,36,Library
8,68,No,7,3,61,Library
3,54,Yes,5,0,35,Home
1,40,Yes,8,8,15,Home
8,93,Yes,6,9,88,Home
3,69,No,4,7,45,Home
3,68,Yes,9,6,49,Home
1,59,Yes,8,5,33,Home
5,72,Yes,9,2,60,Home
7,80,No,8,3,71,Home
9,83,Yes,4,1,81,Home
7,75,No,6,6,67,Home
9,99,No,4,1,95,Home
8,61,Yes,6,9,58,Home
2,52,No,9,0,29,Home
1,46,No,5,5,21,Home
7,47,Yes,6,3,38,Home
7,67,Yes,8,7,60,Home
8,84,Yes,5,0,76,Home
5,82,Yes,9,8,69,Home
3,48,No,7,5,30,Home
8,64,No,5,1,57,Home
6,95,Yes,6,7,81,Home
3,55,Yes,5,4,36,Home
1,49,Yes,9,4,25,Home
3,50,No,5,4,27,Home
5,70,Yes,9,6,61,Home
3,51,No,7,6,34,Home
1,99,No,6,9,76,Home
5,70,No,8,6,57,Home
7,53,No,5,9,45,Home
7,90,Yes,4,1,76,Home
9,83,Yes,8,7,83,Home
3,71,Yes,5,0,50,Home
7,89,No,8,1,81,Home
1,92,No,4,6,66,Home
4,56,Yes,8,3,38,Home
4,74,No,8,9,56,Home
5,40,No,4,9,25,Home
7,68,No,4,8,56,Home
7,90,Yes,4,8,82,Home
4,43,Yes,7,2,23,Home
7,62,Yes,9,2,56,Home
3,67,No,9,8,46,Home
6,55,Yes,4,9,43,Home
2,51,Yes,9,7,30,Home
9,92,Yes,8,0,92,Home
5,60,No,4,5,45,Home
6,84,No,5,6,70,Home
4,56,No,4,7,36,Home
7,79,No,4,1,71,Home
9,52,No,9,0,49,Home
7,91,Yes,6,3,82,Home
1,97,Yes,8,0,71,Home
1,71,No,9,1,43,Home
9,76,No,8,2,77,Home
9,89,Yes,5,3,86,Home
4,54,No,7,5,34,Home
9,51,No,6,7,49,Home
3,88,No,5,8,69,Home
7,96,No,5,3,84,Home
6,54,No,8,0,41,Home
8,73,Yes,6,4,68,Home
9,45,Yes,8,4,44,Home
5,56,No,7,8,41,Home
1,87,No,8,5,58,Home
3,88,Yes,4,4,68,Home
8,96,No,8,9,94,Home
6,59,Yes,4,9,47,Home
8,48,No,5,4,40,Home
9,98,Yes,7,7,100,Home
4,44,Yes,9,0,23,Home
1,62,No,4,4,36,Home
1,72,No,7,0,47,Home
4,77,Yes,8,6,60,Home
7,95,No,9,6,83,Home
2,53,Yes,8,9,33,Home
3,56,No,5,7,36,Home
1,96,No,8,6,74,Home
5,58,No,4,8,42,Home
1,72,Yes,5,7,47,Home
8,40,Yes,7,7,31,Home
1,52,No,5,2,26,Home
1,85,Yes,7,9,58,Home
2,66,No,6,3,42,Home
2,45,Yes,4,3,18,Home
6,98,No,4,0,85,Home
7,45,Yes,7,5,36,Home
5,72,Yes,8,1,58,Home
1,69,Yes,9,8,45,Home
1,85,Yes,8,0,60,Home
3,74,Yes,6,0,56,Home
2,62,Yes,7,9,42,Home
5,49,No,6,5,33,Home
6,90,No,7,0,77,Home
7,58,Yes,6,2,51,Home
4,90,No,7,9,72,Home
7,67,Yes,4,1,57,Home
8,62,No,6,8,53,Home
1,43,No,6,4,16,Home
6,59,No,7,5,45,Home
8,58,No,5,1,49,Home
5,81,Yes,5,7,67,Home
4,66,No,4,5,49,Home
2,96,No,8,7,73,Home
6,73,No,8,7,65,Home
6,43,Yes,4,0,27,Home
1,95,No,8,6,72,Home
9,77,Yes,9,1,74,Home
6,46,Yes,9,7,38,Home
3,87,No,9,1,67,Home
4,46,Yes,9,3,28,Home
4,89,No,7,1,73,Home
3,91,No,5,6,72,Home
3,65,No,4,4,42,Home
3,65,No,7,8,47,Home
4,93,No,9,4,77,Home
7,58,No,4,7,49,Home
4,48,No,5,1,30,Home
9,59,Yes,8,2,54,Home
1,81,Yes,7,5,56,Home
8,84,No,5,6,75,Home
7,89,No,4,9,78,Home
2,55,Yes,6,7,32,Home
8,93,No,7,2,89,Home
1,56,Yes,4,6,29,Home
9,61,Yes,4,7,57,Home
9,52,No,5,9,48,Home
2,51,No,4,5,27,Home
7,49,Yes,7,3,38,Home
3,40,Yes,9,5,18,Home
7,71,No,7,8,66,Home
9,69,No,4,2,65,Home
4,47,Yes,5,1,27,Home
1,60,Yes,7,4,33,Home
2,61,Yes,6,6,37,Home
1,57,No,9,2,29,Home
5,41,No,8,4,26,Home
5,87,No,5,3,72,Home
7,83,Yes,5,6,77,Home
9,48,Yes,8,1,45,Home
9,42,No,8,6,41,Home
3,93,Yes,7,1,73,Home
3,65,Yes,4,2,43,Home
3,60,Yes,4,4,39,Home
4,69,Yes,6,6,54,Home
8,67,Yes,9,5,62,Home
6,75,No,4,6,63,Home
8,65,No,6,5,59,Home
1,73,No,6,0,46,Home
8,47,No,5,4,42,Home
4,49,No,5,0,30,Home
1,87,Yes,9,6,63,Home
8,94,Yes,7,3,89,Home
4,82,Yes,8,4,62,Home
6,89,No,8,0,77,Home
8,93,Yes,9,7,88,Home
4,53,Yes,6,3,35,Home
3,79,Yes,9,2,60,Home
9,94,No,8,0,92,Home
3,54,Yes,6,3,38,Home
9,56,Yes,8,2,56,Home
2,92,No,7,7,70,Home
2,57,No,5,8,35,Home
2,71,Yes,5,4,47,Home
6,77,No,6,8,66,Home
3,62,Yes,9,0,43,Home
9,85,No,8,6,81,Home
4,62,Yes,4,6,43,Home
1,74,Yes,7,5,46,Home
4,78,No,8,3,61,Home
1,54,No,4,8,27,Home
5,92,No,7,2,77,Home
4,63,No,7,0,43,Home
8,67,Yes,5,1,60,Home
8,55,No,6,2,48,Home
7,55,Yes,8,1,47,Home
3,79,Yes,7,5,60,Home
1,78,Yes,8,6,53,Home
1,45,No,7,4,19,Home
3,41,Yes,9,4,23,Home
6,93,Yes,5,6,81,Home
7,52,No,6,5,41,Home
6,83,Yes,4,7,71,Home
6,86,Yes,4,8,75,Home
6,98,Yes,9,1,89,Home
3,48,No,5,1,28,Home
6,73,Yes,7,0,60,Home
8,56,Yes,5,6,54,Home
2,66,Yes,6,3,41,Home
5,68,No,4,8,52,Home
1,76,No,8,5,53,Home
1,82,No,4,6,52,Home
5,61,Yes,6,6,47,Home
3,90,Yes,7,7,71,Home
4,63,Yes,5,3,42,Home
3,46,Yes,4,2,21,Home
1,73,Yes,4,2,48,Home
1,87,No,8,9,64,Home
5,51,Yes,5,7,38,Home
6,62,Yes,8,2,49,Home
3,54,No,8,7,35,Home
9,72,No,7,1,73,Home
5,96,Yes,4,4,81,Home
8,52,No,9,4,47,Home
1,62,No,5,6,36,Home
5,77,No,7,4,63,Library
3,71,Yes,9,8,52,Home
1,84,No,7,2,58,Home
4,89,Yes,7,8,77,Home
5,74,No,6,0,58,Home
7,40,Yes,6,2,33,Home
1,86,Yes,7,3,67,Home
3,97,Yes,6,5,76,Home
2,84,No,5,9,62,Home
9,44,No,4,7,37,Home
6,96,No,9,6,86,Home
3,52,Yes,5,7,37,Home
8,93,No,4,5,88,Home
8,44,No,6,5,38,Home
2,99,Yes,9,5,76,Home
6,71,No,5,2,57,Home
7,90,Yes,8,9,82,Home
2,60,No,7,3,35,Home
2,63,Yes,4,5,41,Home
1,99,Yes,4,6,75,Home
8,57,No,8,2,51,Home
1,60,Yes,8,3,34,Home
9,93,No,7,5,92,Home
6,49,No,6,0,39,Home
7,63,No,5,6,56,Home
7,79,No,5,0,69,Home
3,86,Yes,5,9,69,Home
2,60,Yes,6,8,40,Home
9,64,Yes,7,9,63,Home
8,91,No,5,8,86,Home
7,99,No,4,8,89,Home
9,96,Yes,4,3,94,Home
4,98,Yes,4,1,79,Home
4,62,No,8,6,44,Library
1,61,No,8,3,33,Library
8,43,No,6,4,36,Library
3,73,Yes,5,0,50,Library
7,95,No,8,9,94,Library
2,45,Yes,4,5,22,Library
2,67,No,8,6,44,Library
7,70,Yes,4,2,60,Library
6,74,No,5,9,64,Library
3,78,Yes,6,1,58,Library
9,81,Yes,7,9,78,Library
6,62,Yes,7,6,51,Library
6,45,No,4,0,30,Library
1,55,Yes,8,1,29,Library
4,41,Yes,8,2,22,Library
6,63,No,4,3,51,Library
6,56,Yes,5,4,45,Library
5,84,Yes,4,3,70,Library
1,40,No,5,9,10,Library
8,45,Yes,6,2,38,Library
5,44,No,6,0,30,Library
5,96,Yes,4,6,82,Library
7,84,No,6,9,74,Library
4,99,Yes,8,5,87,Library
6,94,Yes,5,1,77,Library
4,89,Yes,7,1,72,Library
3,68,No,7,2,51,Library
7,51,Yes,6,7,40,Library
8,78,Yes,5,7,72,Library
4,86,No,8,9,68,Library
2,42,No,7,9,22,Library
3,87,No,8,9,67,Library
1,40,Yes,8,9,18,Library
8,66,Yes,7,7,64,Library
3,87,Yes,7,6,66,Library
7,63,No,6,1,50,Library
5,83,No,5,0,68,Library
5,58,Yes,4,5,44,Library
7,98,Yes,5,7,90,Library
9,47,No,4,0,41,Library
5,94,No,7,2,83,Library
1,83,No,8,0,57,Library
1,86,Yes,5,9,64,Library
2,41,No,8,8,18,Library
6,69,No,5,6,62,Library
9,69,No,9,7,66,Library
8,88,No,5,8,85,Library
5,78,Yes,8,2,62,Library
1,84,No,9,9,62,Library
7,71,Yes,6,1,62,Library
5,40,Yes,7,5,26,Library
6,77,No,6,4,66,Library
7,52,No,6,3,43,Library
3,50,Yes,5,5,30,Library
3,49,No,7,5,25,Library
5,87,Yes,9,2,77,Library
6,98,No,5,1,88,Library
9,65,Yes,4,8,62,Library
5,95,Yes,5,7,82,Library
1,94,Yes,9,3,73,Library
4,59,No,8,5,44,Library
5,56,Yes,5,2,40,Library
5,56,Yes,4,7,39,Library
7,43,No,5,2,34,Library
4,44,No,9,1,27,Library
1,99,Yes,4,6,73,Library
5,62,Yes,7,2,46,Library
7,85,No,9,8,78,Library
6,91,Yes,5,2,80,Library
5,49,No,4,7,33,Library
4,85,No,9,1,68,Library
2,67,No,7,8,45,Library
4,72,Yes,8,0,56,Library
3,82,No,6,2,58,Library
1,65,Yes,4,1,37,Library
8,94,Yes,8,6,88,Library
5,89,No,7,4,75,Library
4,87,No,8,7,70,Library
8,68,No,5,1,62,Library
7,66,No,6,7,57,Library
2,57,Yes,4,6,32,Library
1,79,Yes,9,4,53,Library
4,99,No,7,1,82,Library
8,49,Yes,6,9,41,Library
2,97,No,7,6,75,Library
3,81,Yes,8,9,63,Library
1,44,Yes,7,3,17,Library
1,49,Yes,7,3,24,Library
3,89,No,8,7,69,Library
5,60,Yes,8,5,47,Library
3,63,Yes,6,8,43,Library
1,77,Yes,4,1,48,Library
1,42,Yes,8,4,17,Library
8,79,No,6,5,75,Library
2,70,Yes,7,7,54,Library
3,80,No,7,3,59,Library
2,76,No,9,6,56,Library
3,41,Yes,5,6,20,Library
7,41,Yes,8,3,34,Library
1,78,No,6,0,54,Library
8,88,No,9,2,83,Library
2,81,No,6,1,59,Library
3,83,Yes,4,2,63,Library
9,73,Yes,9,4,72,Library
7,81,No,6,0,70,Library
4,59,No,8,4,41,Library
5,72,No,6,1,54,Library
2,43,Yes,5,3,21,Library
8,84,Yes,7,5,83,Library
4,83,No,7,8,64,Library
9,50,Yes,9,9,51,Library
5,81,No,6,5,66,Library
9,86,Yes,6,9,83,Library
4,44,No,6,1,26,Library
5,64,Yes,6,7,49,Library
9,88,Yes,5,4,85,Library
8,99,Yes,8,8,95,Library
3,76,Yes,5,9,56,Library
1,73,Yes,5,8,50,Library
3,48,Yes,5,3,23,Library
4,45,Yes,7,0,26,Library
2,57,No,5,8,30,Library
1,53,No,6,8,28,Library
7,58,No,5,7,48,Library
8,53,Yes,6,4,46,Library
7,79,Yes,9,4,73,Library
5,56,Yes,8,9,45,Library
1,99,No,7,5,76,Library
7,74,No,8,0,71,Library
7,68,No,9,8,60,Library
9,81,No,8,4,77,Library
3,56,No,7,6,36,Library
9,98,No,6,7,96,Library
1,82,Yes,9,4,62,Library
1,47,No,9,2,22,Library
4,40,Yes,6,5,21,Library
9,84,No,6,6,79,Library
6,92,No,7,3,82,Library
3,75,Yes,5,8,55,Library
1,46,Yes,4,3,22,Library
4,85,Yes,5,9,70,Library
9,44,No,5,1,37,Library
3,63,No,8,8,42,Library
9,67,Yes,4,3,64,Library
7,82,No,6,3,72,Library
4,56,Yes,5,9,42,Library
3,76,No,7,0,56,Library
5,59,No,5,1,43,Library
5,42,No,6,2,24,Library
3,76,Yes,5,6,55,Library
9,65,No,9,8,64,Library
4,54,Yes,8,4,34,Library
5,90,Yes,8,3,78,Library
4,87,Yes,5,1,71,Library
5,47,Yes,8,6,33,Library
7,52,Yes,7,5,46,Library
9,87,Yes,4,6,86,Library
7,42,Yes,5,7,34,Library
5,40,Yes,7,8,26,Library
7,48,Yes,9,9,44,Library
5,70,No,7,4,53,Library
3,80,Yes,7,4,61,Library
7,93,No,9,3,84,Library
2,65,Yes,6,2,40,Library
9,56,No,5,6,53,Library
1,95,No,5,4,67,Library
6,73,No,5,6,58,Library
7,48,No,4,1,41,Library
8,95,No,7,8,89,Library
9,90,No,5,8,85,Library
2,52,Yes,8,8,33,Library
2,44,Yes,6,4,20,Library
5,80,Yes,9,9,66,Library
5,52,Yes,9,8,38,Library
6,40,Yes,4,0,25,Library
3,64,Yes,9,1,43,Library
8,86,No,6,9,79,Library
1,43,Yes,7,4,16,Library
6,75,No,9,4,67,Library
4,91,No,9,5,80,Library
1,49,No,8,7,26,Library
7,67,No,7,0,57,Library
9,96,No,5,9,91,Library
4,45,No,6,8,29,Library
4,66,Yes,9,3,48,Library
6,95,No,8,7,84,Library
3,51,No,6,4,33,Library
6,91,Yes,4,0,82,Library
7,87,Yes,8,8,81,Library
3,42,Yes,4,7,24,Library
7,85,Yes,9,4,81,Library
3,72,Yes,8,3,54,Library
2,49,Yes,5,7,25,Library
4,70,Yes,6,8,53,Library
8,54,No,6,6,48,Library
9,46,Yes,7,3,40,Library
7,75,No,8,6,66,Library
1,53,Yes,8,5,29,Library
3,95,Yes,4,2,73,Library
9,87,No,8,9,89,Library
1,53,Yes,6,2,27,Library
9,42,Yes,8,0,40,Library
8,88,Yes,7,4,83,Library
1,92,Yes,7,7,69,Library
6,85,Yes,6,5,72,Library
5,89,Yes,6,7,77,Library
6,42,Yes,6,6,32,Library
5,61,No,8,1,49,Library
6,58,Yes,8,7,44,Library
5,74,No,5,3,57,Library
5,51,No,9,4,34,Library
4,93,No,9,7,76,Library
3,44,No,4,4,22,Library
3,49,No,8,4,30,Library
4,80,No,5,5,67,Library
9,72,No,5,6,71,Library
2,52,Yes,7,8,29,Library
9,74,Yes,8,6,74,Library
1,90,Yes,5,5,67,Library
1,71,No,7,9,46,Library
5,50,Yes,4,3,34,Library
6,87,No,7,9,76,Library
6,77,No,4,1,64,Library
3,63,Yes,9,8,46,Library
7,74,No,9,9,68,Library
9,58,No,6,4,58,Library
8,45,Yes,6,4,41,Library
6,79,No,7,2,64,Library
8,93,Yes,6,2,84,Library
5,84,No,8,0,70,Library
8,83,No,7,4,77,Library
4,81,Yes,5,2,60,Library
8,74,Yes,8,1,65,Library
2,43,Yes,7,8,21,Library
5,72,No,9,9,60,Library
9,52,No,4,5,48,Library
4,95,Yes,6,2,77,Library
6,75,Yes,6,6,63,Library
1,93,Yes,6,8,68,Library
9,82,No,7,8,81,Library
1,58,No,8,0,29,Library
5,82,Yes,4,1,66,Library
4,51,Yes,6,7,36,Library
3,50,Yes,8,0,29,Library
6,45,No,5,2,32,Library
2,51,Yes,9,6,31,Library
3,66,Yes,5,7,45,Library
5,80,Yes,4,4,65,Library
